entity_id,state,last_changed
sensor.hapsic_room_dew_point,46.86,2026-02-17T09:59:14.668Z
sensor.hapsic_supply_flow,374.333343505859,2026-02-17T09:59:17.852Z
sensor.hapsic_room_average_rh,46.24,2026-02-17T09:59:19.689Z
sensor.hapsic_supply_flow,373.666656494141,2026-02-17T09:59:22.851Z
sensor.hapsic_supply_flow,372.777801513672,2026-02-17T09:59:27.879Z
sensor.hapsic_room_average_rh,46.25,2026-02-17T09:59:34.714Z
sensor.hapsic_supply_flow,373.111114501953,2026-02-17T09:59:37.881Z
sensor.hapsic_room_average_rh,46.24,2026-02-17T09:59:39.687Z
sensor.hapsic_supply_flow,373.833343505859,2026-02-17T09:59:42.858Z
sensor.hapsic_room_dew_point,46.85,2026-02-17T09:59:44.669Z
sensor.hapsic_supply_flow,374.0,2026-02-17T09:59:47.865Z
sensor.hapsic_room_dew_point,46.84,2026-02-17T09:59:49.667Z
sensor.hapsic_supply_flow,373.833343505859,2026-02-17T09:59:52.856Z
sensor.hapsic_supply_flow,373.666656494141,2026-02-17T09:59:57.927Z
sensor.hapsic_supply_flow,373.416656494141,2026-02-17T10:00:02.865Z
sensor.hapsic_room_dew_point,46.83,2026-02-17T10:00:04.721Z
sensor.hapsic_supply_flow,373.361114501953,2026-02-17T10:00:07.868Z
sensor.hapsic_room_dew_point,46.82,2026-02-17T10:00:14.671Z
sensor.hapsic_cleansed_inside_rh,51.0,2026-02-17T10:00:15.079Z
sensor.hapsic_supply_flow,373.444458007812,2026-02-17T10:00:17.872Z
sensor.hapsic_room_average_rh,46.25,2026-02-17T10:00:19.682Z
sensor.hapsic_room_average_temp,68.2,2026-02-17T10:00:19.683Z
sensor.hapsic_supply_flow,373.333343505859,2026-02-17T10:00:22.871Z
sensor.hapsic_room_dew_point,46.81,2026-02-17T10:00:24.667Z
sensor.hapsic_supply_flow,373.5,2026-02-17T10:00:32.877Z
sensor.hapsic_room_dew_point,46.8,2026-02-17T10:00:34.686Z
sensor.hapsic_supply_flow,374.333343505859,2026-02-17T10:00:37.878Z
sensor.hapsic_room_average_rh,46.26,2026-02-17T10:00:39.681Z
sensor.hapsic_supply_flow,374.666656494141,2026-02-17T10:00:42.884Z
sensor.hapsic_supply_flow,374.277801513672,2026-02-17T10:00:47.882Z
sensor.hapsic_supply_flow,373.444458007812,2026-02-17T10:00:52.884Z
sensor.hapsic_cleansed_supply_temp,60.9800006866455,2026-02-17T10:00:54.083Z
sensor.hapsic_room_average_rh,46.27,2026-02-17T10:00:54.671Z
sensor.hapsic_room_dew_point,46.79,2026-02-17T10:00:54.672Z
sensor.hapsic_cleansed_supply_temp,60.8,2026-02-17T10:00:56.080Z
sensor.hapsic_supply_flow,373.277801513672,2026-02-17T10:00:57.880Z
sensor.hapsic_cleansed_supply_temp,60.9800006866455,2026-02-17T10:01:00.086Z
sensor.hapsic_supply_flow,373.5,2026-02-17T10:01:02.888Z
sensor.hapsic_cleansed_supply_temp,60.8,2026-02-17T10:01:03.088Z
sensor.hapsic_cleansed_supply_temp,60.9800006866455,2026-02-17T10:01:05.084Z
sensor.hapsic_supply_flow,373.833343505859,2026-02-17T10:01:07.893Z
sensor.hapsic_room_dew_point,46.8,2026-02-17T10:01:14.840Z
sensor.hapsic_supply_flow,373.055541992188,2026-02-17T10:01:17.880Z
sensor.hapsic_room_average_rh,46.28,2026-02-17T10:01:19.692Z
sensor.hapsic_supply_flow,372.722198486328,2026-02-17T10:01:22.895Z
sensor.hapsic_room_dew_point,46.81,2026-02-17T10:01:24.686Z
sensor.hapsic_supply_flow,373.055541992188,2026-02-17T10:01:27.893Z
sensor.hapsic_supply_flow,373.833343505859,2026-02-17T10:01:32.898Z
sensor.hapsic_room_dew_point,46.82,2026-02-17T10:01:39.672Z
sensor.hapsic_room_dew_point,46.83,2026-02-17T10:01:49.732Z
sensor.hapsic_supply_flow,374.5,2026-02-17T10:01:57.930Z
sensor.hapsic_room_dew_point,46.84,2026-02-17T10:01:59.673Z
sensor.hapsic_room_average_temp,68.3,2026-02-17T10:01:59.674Z
sensor.hapsic_supply_flow,375.0,2026-02-17T10:02:02.910Z
sensor.hapsic_supply_flow,375.166656494141,2026-02-17T10:02:07.915Z
sensor.hapsic_room_average_rh,46.27,2026-02-17T10:02:09.689Z
sensor.hapsic_supply_flow,374.722198486328,2026-02-17T10:02:12.920Z
sensor.hapsic_room_dew_point,46.85,2026-02-17T10:02:14.670Z
sensor.hapsic_supply_flow,373.888885498047,2026-02-17T10:02:17.917Z
sensor.hapsic_supply_flow,374.055541992188,2026-02-17T10:02:22.915Z
sensor.hapsic_supply_flow,374.666656494141,2026-02-17T10:02:27.914Z
sensor.hapsic_room_average_rh,46.26,2026-02-17T10:02:29.690Z
sensor.hapsic_supply_flow,375.333343505859,2026-02-17T10:02:32.923Z
sensor.hapsic_supply_flow,375.0,2026-02-17T10:02:37.911Z
sensor.hapsic_supply_flow,374.333343505859,2026-02-17T10:02:42.916Z
sensor.hapsic_room_dew_point,46.84,2026-02-17T10:02:44.670Z
sensor.hapsic_supply_flow,375.0,2026-02-17T10:02:52.916Z
sensor.hapsic_supply_flow,375.333343505859,2026-02-17T10:02:57.924Z
sensor.hapsic_room_dew_point,46.83,2026-02-17T10:02:59.823Z
sensor.hapsic_supply_flow,374.166656494141,2026-02-17T10:03:02.932Z
sensor.hapsic_supply_flow,373.0,2026-02-17T10:03:07.929Z
sensor.hapsic_supply_flow,372.5,2026-02-17T10:03:12.936Z
sensor.hapsic_supply_flow,372.666656494141,2026-02-17T10:03:17.935Z
sensor.hapsic_supply_flow,373.277801513672,2026-02-17T10:03:22.931Z
sensor.hapsic_supply_flow,373.111114501953,2026-02-17T10:03:27.940Z
sensor.hapsic_supply_flow,373.388916015625,2026-02-17T10:03:32.938Z
sensor.hapsic_supply_flow,373.111114501953,2026-02-17T10:03:37.945Z
sensor.hapsic_room_dew_point,46.82,2026-02-17T10:03:39.875Z
sensor.hapsic_room_average_temp,68.2,2026-02-17T10:03:39.876Z
sensor.hapsic_supply_flow,373.5,2026-02-17T10:03:42.938Z
sensor.hapsic_supply_flow,373.388885498047,2026-02-17T10:03:47.942Z
sensor.hapsic_room_dew_point,46.81,2026-02-17T10:03:49.668Z
sensor.hapsic_supply_flow,372.888885498047,2026-02-17T10:03:52.943Z
sensor.hapsic_supply_flow,372.777801513672,2026-02-17T10:03:57.943Z
sensor.hapsic_room_average_rh,46.27,2026-02-17T10:03:59.687Z
sensor.hapsic_room_dew_point,46.8,2026-02-17T10:03:59.689Z
sensor.hapsic_supply_flow,373.222259521484,2026-02-17T10:04:02.940Z
sensor.hapsic_supply_flow,373.444458007812,2026-02-17T10:04:07.949Z
sensor.hapsic_room_dew_point,46.81,2026-02-17T10:04:09.839Z
sensor.hapsic_supply_flow,373.333343505859,2026-02-17T10:04:12.956Z
sensor.hapsic_room_dew_point,46.82,2026-02-17T10:04:14.917Z
sensor.hapsic_supply_flow,372.722198486328,2026-02-17T10:04:17.959Z
sensor.hapsic_room_average_rh,46.28,2026-02-17T10:04:19.667Z
sensor.hapsic_room_dew_point,46.83,2026-02-17T10:04:19.668Z
sensor.hapsic_supply_flow,373.0,2026-02-17T10:04:22.957Z
sensor.hapsic_supply_flow,373.222198486328,2026-02-17T10:04:27.955Z
sensor.hapsic_room_dew_point,46.84,2026-02-17T10:04:29.674Z
sensor.hapsic_room_average_temp,68.3,2026-02-17T10:04:29.675Z
sensor.hapsic_supply_flow,373.611083984375,2026-02-17T10:04:32.962Z
sensor.hapsic_room_average_rh,46.29,2026-02-17T10:04:34.668Z
sensor.hapsic_room_dew_point,46.85,2026-02-17T10:04:34.669Z
sensor.hapsic_supply_flow,373.444427490234,2026-02-17T10:04:37.970Z
sensor.hapsic_room_average_rh,46.28,2026-02-17T10:04:39.680Z
sensor.hapsic_room_dew_point,46.84,2026-02-17T10:04:39.682Z
